,full_text_id,segment,arg_comp,sem_type,arg_comp_correct,sem_type_correct
0,0,"It's the other way, it's the right to defame, that's the constitutionally protected right",claim,evaluation-rational,claim,evaluation-rational
1,0,The right to defame that's been constitutionally protected not the right to be protected from defamation,premise,logos-pathos,premise,logos-pathos
2,0,"Pursuing a little more of the line of inquiry of my brothers Marshall and Harlan, I -- the complaint in this case, you say this case was in the pleading, as I understand it",premise,logos,claim,interpretation
3,0,The complaint appears in the appendix page 1 through 14 and I'm interested in knowing where it is alleged there the interest or the impact of this plaintiff with respect to the -- with respect to the Commission,premise,pathos,premise,pathos
4,0,"Well, maybe I missed it and I certainly don't want to cause you to sit there and sum through the brief and I'd find it",claim,evaluation-rational,NA,NA
5,0,but I --,NA,NA,NA,NA
6,0,but that is at least for me a rather important factor in this case,NA,NA,NA,NA
7,0,But those were criminal charges initiated in the ordinary way by the State of Louisiana,premise,logos,premise,logos
8,0,"For murder?
You have a grand jury presentments in your state?
As contrasted with indictments?
Well, do you or don't you?
Do you have presentments or don't you?
This was -- how about the -- what's this conspiracy to murder business?
That's in the amended complaint?
For murder?
Your client is a member of the union of which Mr",NA,NA,NA,NA
9,0,"Partin is the --
-- head",premise,logos,premise,ethos
10,0,And he thinks that Mr,NA,NA,NA,NA
11,0,Partin is being damaged,premise,logos-pathos,claim,evaluation-rational
12,1,Mr,NA,NA,NA,NA
13,1,"Chief Justice, and may it please the Court",premise,logos-pathos,NA,NA
14,1,"Your Honor, there's no holding by this Court that identifies",premise,logos,premise,logos
15,1,"There is no case that identifies a breadth of this case,",claim,interpretation,premise,logos
16,1,"but perhaps that might be part of the beauty, beauty in the sense that it is it is content-neutral,
No, Your Honor",NA,NA,NA,NA
17,1,Your Honor,claim,agreement,NA,NA
18,1,"The answer is no, and",NA,NA,claim,disagreement
19,1,The track rec- i- the track,premise,logos,NA,NA
20,1,"That hypothetical was raised by the trial court judge, Your Honor,
and it was answered by Mr",premise,logos,premise,logos
21,1,"Bruzzese to the to the negative, the reason why it was answered to the negative is that these people are not who are going door to door are not seeking u- to communicate, they are s- they are begging candy, and",NA,NA,premise,pathos
22,1,Sale sale would would constitute a conduct that would,claim,evaluation-rational,claim,evaluation-rational
23,1,"No, Your Honor, I don't believe that",claim,agreement,claim,disagreement
24,1,"The limiting language, Your Honor, deals with canvassing and hawking of the u- of the area",premise,logos,premise,logos
25,1,"No, Your Honor",premise,logos-pathos,NA,NA
26,1,Because it is not the type of cause that u- that the communication is,premise,logos-pathos,premise,logos-pathos
27,1,Within the beginning of the ordinance,premise,logos,premise,logos
28,1,I'm looking at section one sixteen point zero three,claim,evaluation-emotional,premise,logos
29,1,"No canvasser, solicitor, peddlar, hawker, itinerant merchant, or transient vendor of merchandise or services who is described in one sixteen point zero one of this chapter, and who intends to go o- in or upon private property, or a private resident of the village, for any other purposes described in point zero one, shall go in or upon such private property or residence without first registering",premise,logos,premise,logos
30,1,The district court determined th- that they were canvassers,premise,logos-pathos,premise,logos
