Train Set,Target Data Percent,Tag Type,Test Dataset,F1,Precision,Recall,F1 STD,Precision STD,Recall STD
CMV,0%,Baseline,Same,0.567,0.5625,0.5905,0.007071068,0.007778175,0.003535534
CMV,0%,Baseline,Different,0.322,0.395,0.512,0,0.001414214,0.007071068
CMV,0%,ArgComps,Same,0.5395,0.537,0.5485,0.004949747,0.005656854,0.004949747
CMV,0%,ArgComps,Different,0.4005,0.4025,0.505,0.004949747,0.003535534,0.038183766
CMV,0%,SemTypes,Same,0.5495,0.546,0.567,0.00212132,0.001414214,0.009899495
CMV,0%,SemTypes,Different,0.3725,0.394,0.483,0.026162951,0.005656854,0.046669048
SCOA,0%,Baseline,Same,0.6825,0.678,0.6895,0.003535534,0.002828427,0.00212132
SCOA,0%,Baseline,Different,0.171,0.334,0.3845,0.002828427,0.001414214,0.053033009
SCOA,0%,ArgComps,Same,0.6725,0.669,0.6785,0.000707107,0,0.000707107
SCOA,0%,ArgComps,Different,0.172,0.335,0.4285,0.004242641,0.001414214,0.036062446
SCOA,0%,SemTypes,Same,0.669,0.665,0.6745,0.001414214,0.002828427,0.000707107
SCOA,0%,SemTypes,Different,0.194,0.3355,0.357,0.01979899,0.003535534,0.079195959
CMV,15%,Baseline,Same,0.572,0.5685,0.595,0.002828427,0.003535534,0
CMV,15%,Baseline,Different,0.6655,0.663,0.674,0.006363961,0.005656854,0.004242641
CMV,15%,ArgComps,Same,0.5485,0.545,0.559,0.003535534,0.004242641,0
CMV,15%,ArgComps,Different,0.656,0.6545,0.664,0.009899495,0.007778175,0.005656854
CMV,15%,SemTypes,Same,0.55,0.544,0.5555,0.001414214,0.005656854,0.007778175
CMV,15%,SemTypes,Different,0.646,0.6495,0.661,0,0.00212132,0.001414214
SCOA,15%,Baseline,Same,0.685,0.68,0.691,0.005656854,0.005656854,0.005656854
SCOA,15%,Baseline,Different,0.5505,0.5475,0.572,0.00212132,0.003535534,0.008485281
SCOA,15%,ArgComps,Same,0.668,0.6645,0.6765,0.002828427,0.00212132,0.003535534
SCOA,15%,ArgComps,Different,0.5285,0.5265,0.541,0.012020815,0.012020815,0.011313709
SCOA,15%,SemTypes,Same,0.67,0.6675,0.68,0.004242641,0.004949747,0.008485281
SCOA,15%,SemTypes,Different,0.5245,0.523,0.5355,0.007778175,0.007071068,0.012020815
CMV,30%,Baseline,Same,0.5695,0.566,0.597,0.00212132,0.002828427,0.007071068
CMV,30%,Baseline,Different,0.6755,0.673,0.685,0.004949747,0.005656854,0.005656854
CMV,30%,ArgComps,Same,0.5525,0.5485,0.5645,0.006363961,0.006363961,0.009192388
CMV,30%,ArgComps,Different,0.6625,0.6585,0.6695,0.00212132,0.000707107,0.00212132
CMV,30%,SemTypes,Same,0.5465,0.5435,0.558,0.004949747,0.004949747,0.009899495
CMV,30%,SemTypes,Different,0.673,0.6685,0.6795,0.007071068,0.006363961,0.006363961
SCOA,30%,Baseline,Same,0.684,0.6805,0.6905,0,0.000707107,0.000707107
SCOA,30%,Baseline,Different,0.5475,0.5485,0.56,0.007778175,0.003535534,0.002828427
SCOA,30%,ArgComps,Same,0.674,0.6695,0.68,0.002828427,0.003535534,0.004242641
SCOA,30%,ArgComps,Different,0.531,0.5285,0.5385,0.008485281,0.007778175,0.013435029
SCOA,30%,SemTypes,Same,0.674,0.67,0.6805,0.004242641,0.004242641,0.004949747
SCOA,30%,SemTypes,Different,0.531,0.528,0.5395,0.001414214,0.001414214,0.006363961
CMV,50%,Baseline,Same,0.5715,0.5675,0.598,0.00212132,0.00212132,0.002828427
CMV,50%,Baseline,Different,0.6825,0.6795,0.6905,0.003535534,0.004949747,0.006363961
CMV,50%,ArgComps,Same,0.5475,0.5445,0.559,0.006363961,0.006363961,0.004242641
CMV,50%,ArgComps,Different,0.67,0.666,0.6755,0.001414214,0.002828427,0.00212132
CMV,50%,SemTypes,Same,0.5465,0.543,0.5585,0.003535534,0.002828427,0.003535534
CMV,50%,SemTypes,Different,0.6625,0.661,0.6725,0.009192388,0.004242641,0.003535534
SCOA,50%,Baseline,Same,0.689,0.685,0.6955,0,0,0.000707107
SCOA,50%,Baseline,Different,0.5585,0.5555,0.592,0.007778175,0.007778175,0.001414214
SCOA,50%,ArgComps,Same,0.6745,0.6725,0.683,0.012020815,0.009192388,0.008485281
SCOA,50%,ArgComps,Different,0.5385,0.536,0.549,0.003535534,0.004242641,0.007071068
SCOA,50%,SemTypes,Same,0.6695,0.667,0.6775,0.00212132,0.001414214,0.000707107
SCOA,50%,SemTypes,Different,0.5275,0.527,0.534,0.003535534,0.002828427,0.005656854
CMV,75%,Baseline,Same,0.569,0.566,0.5835,0.002828427,0.002828427,0.012020815
CMV,75%,Baseline,Different,0.6845,0.681,0.692,0.000707107,0.002828427,0.002828427
CMV,75%,ArgComps,Same,0.5405,0.537,0.5505,0.003535534,0.002828427,0.009192388
CMV,75%,ArgComps,Different,0.667,0.6635,0.674,0.007071068,0.006363961,0.007071068
CMV,75%,SemTypes,Same,0.546,0.5425,0.559,0.002828427,0.003535534,0.002828427
CMV,75%,SemTypes,Different,0.6695,0.6655,0.676,0.013435029,0.013435029,0.012727922
SCOA,75%,Baseline,Same,0.6865,0.6825,0.6945,0.006363961,0.004949747,0.004949747
SCOA,75%,Baseline,Different,0.5665,0.5625,0.591,0.000707107,0.000707107,0.008485281
SCOA,75%,ArgComps,Same,0.67,0.666,0.677,0.001414214,0.002828427,0.002828427
SCOA,75%,ArgComps,Different,0.537,0.534,0.5505,0.007071068,0.007071068,0.009192388
SCOA,75%,SemTypes,Same,0.672,0.6675,0.6795,0.004242641,0.003535534,0.00212132
SCOA,75%,SemTypes,Different,0.5375,0.5345,0.5455,0.000707107,0.000707107,0.004949747
CMV,100%,Baseline,Same,0.5695,0.5655,0.5935,0.007778175,0.007778175,0.010606602
CMV,100%,Baseline,Different,0.6835,0.6785,0.6905,0.003535534,0.003535534,0.004949747
CMV,100%,ArgComps,Same,0.5455,0.542,0.5575,0.004949747,0.005656854,0.003535534
CMV,100%,ArgComps,Different,0.6755,0.6705,0.6825,0.00212132,0.00212132,0.000707107
CMV,100%,SemTypes,Same,0.543,0.5395,0.5565,0.011313709,0.010606602,0.013435029
CMV,100%,SemTypes,Different,0.6775,0.6725,0.683,0.000707107,0.000707107,0
SCOA,100%,Baseline,Same,0.681,0.677,0.688,0.001414214,0.001414214,0.001414214
SCOA,100%,Baseline,Different,0.5625,0.558,0.584,0.004949747,0.005656854,0.009899495
SCOA,100%,ArgComps,Same,0.677,0.6735,0.685,0.008485281,0.006363961,0.007071068
